template_name,template_string
glue - qqp - duplicate or not,"{e1}
{e2}
Pick one: These questions are ""{e3}"" or ""{e4}"".
|||
{e5}"
glue - qqp - meaning,"Question 1: {e1}
Question 2: {e2}

Do these two questions convey the same meaning? Yes or no? ||| {e3}"
glue - qqp - quora,"I'm an administrator on the website Quora. There are two posts, one that asks ""{e1}"" and another that asks ""{e2}"". I can merge questions if they are asking the same thing. Can I merge these two questions? ||| {e3}"
glue - qqp - same thing,"Are the questions ""{e1}"" and ""{e2}"" asking the same thing? ||| {e3}"
paws - labeled_final - Concatenation,"Sentence 1: {e1}
Sentence 2: {e2}
Question: Does Sentence 1 paraphrase Sentence 2? Yes or No? 
||| 
{e3}"
paws - labeled_final - Concatenation-no-label,"Sentence 1: {e1}
Sentence 2: {e2}
Question: Does Sentence 1 paraphrase Sentence 2? 
||| 
{e3}"
paws - labeled_final - Meaning,"Sentence 1: {e1}
Sentence 2: {e2}
Question: Do Sentence 1 and Sentence 2 express the same meaning? Yes or No? 
||| 
{e3}"
paws - labeled_final - Meaning-no-label,"Sentence 1: {e1}
Sentence 2: {e2}
Question: Do Sentence 1 and Sentence 2 express the same meaning? 
||| 
{e3}"
paws - labeled_final - PAWS-ANLI GPT3,"{e1} Question: {e2} True or False? 
||| 
{e3}"
paws - labeled_final - PAWS-ANLI GPT3-no-label,"{e1} Question: {e2} Paraphrase or not?
||| 
{e3}"
paws - labeled_final - Rewrite,"Sentence 1: {e1}
Sentence 2: {e2}
Question: Can we rewrite Sentence 1 to Sentence 2? Yes or No? 
||| 
{e3}"
paws - labeled_final - Rewrite-no-label,"Sentence 1: {e1}
Sentence 2: {e2}
Question: Can we rewrite Sentence 1 to Sentence 2? 
||| 
{e3}"
paws - labeled_final - context-question,"{e1}
Is that a paraphrase of the following sentence?
{e2}?
Yes or No.
||| 
{e3}"
paws - labeled_final - context-question-no-label,"{e1}
Is that a paraphrase of the following sentence?
{e2}?
||| 
{e3}"
paws - labeled_final - paraphrase-task,"{e1} 
Paraphrase the sentence: {e2} 
||| 
{e3} 
{e4}"
paws - labeled_final - task_description-no-label,"Determine if the following two sentences paraphrase each other or not.
Sent 1: {e1}
Sent 2: {e2}
||| 
{e3}"
ai2_arc - ARC-Challenge - heres_a_problem,"Here's a problem to solve: {e1}

Among the 4 following options, which is the correct answer?
{e2}
- {e3}: {e4}
 {e5}|||{e6}"
ai2_arc - ARC-Challenge - i_am_hesitating,"I am hesitating between 4 options to answer the following question, which option should I choose?
Question: {e1}
Possibilities:
- {e2}|||
{e3}"
ai2_arc - ARC-Challenge - multiple_choice,"I gave my students this multiple choice question: {e1}

Only one answer is correct among these 4 choices:
- {e2}

Could you tell me which one is correct?|||
{e3}"
ai2_arc - ARC-Challenge - pick_false_options,"Pick and copy all the incorrect options for the following question:

{e1}

Options:
- {e2}|||
{e3}
{e4}
- {e5}
{e6}
{e7}"
ai2_arc - ARC-Challenge - pick_the_most_correct_option,"Pick the most correct option to answer the following question.

{e1}

Options:
{e2}
- {e3}: {e4}
{e5} |||
{e6}"
ai2_arc - ARC-Challenge - qa_options,"{e1}

Options:
- {e2}|||
{e3}"
ai2_arc - ARC-Easy - heres_a_problem,"Here's a problem to solve: {e1}

Among the 4 following options, which is the correct answer?
{e2}
- {e3}: {e4}
 {e5}|||{e6}"
ai2_arc - ARC-Easy - i_am_hesitating,"I am hesitating between 4 options to answer the following question, which option should I choose?
Question: {e1}
Possibilities:
- {e2}|||
{e3}"
ai2_arc - ARC-Easy - multiple_choice,"I gave my students this multiple choice question: {e1}

Only one answer is correct among these 4 choices:
- {e2}

Could you tell me which one is correct?|||
{e3}"
ai2_arc - ARC-Easy - pick_false_options,"Pick and copy all the incorrect options for the following question:

{e1}

Options:
- {e2}|||
{e3}
{e4}
- {e5}
{e6}
{e7}"
ai2_arc - ARC-Easy - pick_the_most_correct_option,"Pick the most correct option to answer the following question.

{e1}

Options:
{e2}
- {e3}: {e4}
{e5} |||
{e6}"
ai2_arc - ARC-Easy - qa_options,"{e1}

Options:
- {e2}|||
{e3}"
kilt_tasks - hotpotqa - combining_facts,"{e1}
Combine facts and answer this: {e2}
|||
{e3}
{e4}"
kilt_tasks - hotpotqa - complex_question,"{e1}
Here's a complex question that requires someone to reason about the input, can you answer it?
{e2}
|||
{e3}
{e4}"
kilt_tasks - hotpotqa - final_exam,"{e1}
FINAL EXAM

Question 1. {e2}
|||
{e3}
{e4}"
kilt_tasks - hotpotqa - formulate,"{e1}
Formulate an answer to this elaborate question: {e2}
|||
{e3}
{e4}"
kilt_tasks - hotpotqa - straighforward_qa,"{e1}
{e2}
|||
{e3}
{e4}"
trivia_qa - unfiltered - first_person_context,"I've always wondered: {e1} 
||| 
{e2} 
{e3}
{e4}"
trivia_qa - unfiltered - formal_description,"The goal is to predict an English answer string for an input English question. 
Question : {e1}
Answer : 
||| 
{e2} 
{e3} 
{e4}"
trivia_qa - unfiltered - guess_question,"{e1} 
    Guess a question that has the answer ""{e2}"" 
    |||  
    {e3} 
{e4}"
trivia_qa - unfiltered - question_answer,"Question : {e1}
Answer : 
||| 
{e2} 
{e3}
{e4}"
trivia_qa - unfiltered - question_with_instruction,"Answer the following question.
{e1} 
|||
{e2} 
{e3} 
{e4}"
web_questions - None - get_the_answer,Give me the correct facts to answer this: {e1} ||| {e2}
web_questions - None - potential-correct-answer,"Give me a possible correct answer to the question ""{e1}"" ||| {e2}"
web_questions - None - question-answer,{e1} ||| {e2}
web_questions - None - short_general_knowledge_q,Short general knowledge question: {e1} ||| {e2}
web_questions - None - whats_the_answer,What's the answer to that question: {e1} ||| {e2}
wiki_qa - None - Decide_good_answer,"This is a correct answer to the following question about {e1}. Yes or no?
Answer: {e2}
Question: {e3}
|||
{e4}"
wiki_qa - None - Direct Answer to Question,"{e1}
Answer this question: {e2}?|||
{e3}
{e4}"
wiki_qa - None - Generate Question from Topic,"{e1}
Generate a question about the topic ""{e2}"" whose answer would be: {e3}.|||
{e4}?
{e5}
"
wiki_qa - None - Is This True?,"Question: {e1}?
Would ""{e2}"" be a reasonable answer? |||
{e3}"
wiki_qa - None - Jeopardy style,"{e1}
What is the question to: ""{e2}""? The topic is {e3}.|||
""{e4}?""
{e5}
"
wiki_qa - None - Topic Prediction - Answer Only,"{e1}
Determine the topic of the passage.
""{e2}""
Topic:|||
{e3}
{e4}
"
wiki_qa - None - Topic Prediction - Question Only,"{e1}
Determine the topic of the question.
Question: ""{e2}?""
Topic: |||
{e3}
{e4}"
wiki_qa - None - Topic Prediction - Question and Answer Pair,"{e1}
Determine the topic of the question-answer pair.
Question: ""{e2}?"";  Answer: ""{e3}""? Topic: |||
{e4}
{e5}
"
wiki_qa - None - automatic_system,"I am verifying the answers generated by an automatic system to the following question: {e1}
Suggested answer: {e2}
Should I validate this answer?
|||
{e3}"
wiki_qa - None - exercise,"The exercise is to decide whether the question accepts the proposed suggestion as a correct answer. If yes, write ""{e1}"", otherwise write ""{e2}"".
Question: {e3}
Suggestion: {e4}
|||
{e5}"
wiki_qa - None - found_on_google,"Question: {e1}
I found the following answer on Google: {e2}
Is that a correct answer? Yes or no.
|||
{e3}"
adversarial_qa - dbidaf - answer_the_following_q,"{e1}
Given the following passage

""{e2}"",

answer the following question. Note that the answer is present within the text.

Question: {e3} |||
{e4}
{e5}"
adversarial_qa - dbidaf - based_on,"{e1}
Extract the answer to the question from the following context.
Question: {e2}
Context: {e3}|||
{e4}
{e5}"
adversarial_qa - dbidaf - generate_question,"I want to test the ability of students to read a passage and answer questions about it. Could you please come up with a good question for the passage ""{e1}""? |||
{e2}"
adversarial_qa - dbidaf - question_context_answer,"{e1}
Question: ""{e2}""

Context: ""{e3}""

Answer:
|||
{e4}
{e5}"
adversarial_qa - dbidaf - tell_what_it_is,"{e1}
I know that the answer to the question ""{e2}"" is in ""{e3}"". Can you tell me what it is? |||

{e4}
{e5}"
adversarial_qa - dbert - answer_the_following_q,"{e1}
Given the following passage

""{e2}"",

answer the following question. Note that the answer is present within the text.

Question: {e3} |||
{e4}
{e5}"
adversarial_qa - dbert - based_on,"{e1}
Extract the answer to the question from the following context.
Question: {e2}
Context: {e3}|||
{e4}
{e5}"
adversarial_qa - dbert - generate_question,"I want to test the ability of students to read a passage and answer questions about it. Could you please come up with a good question for the passage ""{e1}""? |||
{e2}"
adversarial_qa - dbert - question_context_answer,"{e1}
Question: ""{e2}""

Context: ""{e3}""

Answer:
|||
{e4}
{e5}"
adversarial_qa - dbert - tell_what_it_is,"{e1}
I know that the answer to the question ""{e2}"" is in ""{e3}"". Can you tell me what it is? |||

{e4}
{e5}"
adversarial_qa - droberta - answer_the_following_q,"{e1}
Given the following passage

""{e2}"",

answer the following question. Note that the answer is present within the text.

Question: {e3} |||
{e4}
{e5}"
adversarial_qa - droberta - based_on,"{e1}
Extract the answer to the question from the following context.
Question: {e2}
Context: {e3}|||
{e4}
{e5}"
adversarial_qa - droberta - generate_question,"I want to test the ability of students to read a passage and answer questions about it. Could you please come up with a good question for the passage ""{e1}""? |||
{e2}"
adversarial_qa - droberta - question_context_answer,"{e1}
Question: ""{e2}""

Context: ""{e3}""

Answer:
|||
{e4}
{e5}"
adversarial_qa - droberta - tell_what_it_is,"{e1}
I know that the answer to the question ""{e2}"" is in ""{e3}"". Can you tell me what it is? |||

{e4}
{e5}"
duorc - SelfRC - answer_question,"Please answer the following question about this movie plot. If it's un-answerable, please output ""{e1}"".

Question: {e2}
Movie plot title: {e3}
Movie plot: {e4}
|||
{e5}
No answer
{e6}
{e7}
{e8}"
duorc - SelfRC - build_story_around_qa,"{e1}
Build a movie plot around this: {e2} {e3}
|||
{e4}
{e5}"
duorc - SelfRC - decide_worth_it,"I am trying to decide whether it's worth it to invest in this film proposal. Can you help me answer a few questions? If you can't, please say ""{e1}"".

Question: {e2}
Movie title: {e3}
Movie plot: {e4}
|||
{e5}
No I can't
{e6}
{e7}
{e8}"
duorc - SelfRC - extract_answer,"Extract the answer to the following question from the movie plot. If the question isn't answerable, please output ""{e1}"".
Question: {e2}
Title: {e3}
Movie plot: {e4}
|||
{e5}
Can't answer
{e6}
{e7}
{e8}"
duorc - SelfRC - generate_question,"Generate a question about the following movie plot: {e1}
|||
{e2}"
duorc - SelfRC - generate_question_by_answer,"{e1}
Generate a question that has the following answer: 
{e2} 
for the following movie plot: 
{e3}
|||
{e4}
{e5}"
duorc - SelfRC - movie_director,"I am a movie director and I just received the following movie plot. Could you help me answer this question? If not, let me know by writing ""{e1}"".

Plot title: {e2}
Movie plot: {e3}
My question: {e4}
|||
{e5}
Not answerable
{e6}
{e7}
{e8}"
duorc - SelfRC - question_answering,"Question: {e1}
If there is no answer, please output ""{e2}"".
Movie title: {e3}
Context: {e4}
|||
{e5}
Insufficient information to provide an answer.
{e6}
{e7}
{e8}"
duorc - SelfRC - title_generation,"Suggest a movie title for the following movie plot: {e1}
|||
{e2}"
duorc - ParaphraseRC - answer_question,"Please answer the following question about this movie plot. If it's un-answerable, please output ""{e1}"".

Question: {e2}
Movie plot title: {e3}
Movie plot: {e4}
|||
{e5}
No answer
{e6}
{e7}
{e8}"
duorc - ParaphraseRC - build_story_around_qa,"{e1}
Build a movie plot around this: {e2} {e3}
|||
{e4}
{e5}"
duorc - ParaphraseRC - decide_worth_it,"I am trying to decide whether it's worth it to invest in this film proposal. Can you help me answer a few questions? If you can't, please say ""{e1}"".

Question: {e2}
Movie title: {e3}
Movie plot: {e4}
|||
{e5}
No I can't
{e6}
{e7}
{e8}"
duorc - ParaphraseRC - extract_answer,"Extract the answer to the following question from the movie plot. If the question isn't answerable, please output ""{e1}"".
Question: {e2}
Title: {e3}
Movie plot: {e4}
|||
{e5}
Can't answer
{e6}
{e7}
{e8}"
duorc - ParaphraseRC - generate_question,"Generate a question about the following movie plot: {e1}
|||
{e2}"
duorc - ParaphraseRC - generate_question_by_answer,"{e1}
Generate a question that has the following answer: 
{e2} 
for the following movie plot: 
{e3}
|||
{e4}
{e5}"
duorc - ParaphraseRC - movie_director,"I am a movie director and I just received the following movie plot. Could you help me answer this question? If not, let me know by writing ""{e1}"".

Plot title: {e2}
Movie plot: {e3}
My question: {e4}
|||
{e5}
Not answerable
{e6}
{e7}
{e8}"
duorc - ParaphraseRC - question_answering,"Question: {e1}
If there is no answer, please output ""{e2}"".
Movie title: {e3}
Context: {e4}
|||
{e5}
Insufficient information to provide an answer.
{e6}
{e7}
{e8}"
duorc - ParaphraseRC - title_generation,"Suggest a movie title for the following movie plot: {e1}
|||
{e2}"
ropes - None - background_new_situation_answer,"{e1}
I can use this background: {e2}

Now, I have a new situation: {e3}

Answer this question please: {e4}|||
{e5}
{e6}"
ropes - None - background_situation_middle,"{e1}
You are given a new situation: {e2}

and a hint : {e3}

Please answer this question : {e4}|||
{e5}
{e6}"
ropes - None - given_background_situation,"{e1}
Given the background: {e2}

and the situation: {e3}

Answer the following question: {e4}|||
{e5}
{e6}"
ropes - None - new_situation_background_answer,"{e1}
I have a new situation: {e2}

But I can use this background: {e3}

What is an answer for this question: {e4}|||
{e5}
{e6}"
ropes - None - plain_background_situation,"{e1}
{e2}

{e3}

{e4}
|||
{e5}
{e6}"
ropes - None - plain_bottom_hint,"{e1}
{e2}

{e3}

Hint: {e4}
|||
{e5}
{e6}"
ropes - None - plain_no_background,"{e1}
{e2}

{e3}

|||
{e4}
{e5}"
ropes - None - prompt_beginning,"{e1}
Please answer correctly the following question related to the paragraph below. 

{e2}

{e3}

Hint: {e4}
|||
{e5}
{e6}"
ropes - None - prompt_bottom_hint_beginning,"{e1}
Background: {e2}

Paragraph: {e3}

Given the paragraph above, please answer correctly the following question: {e4}
|||
{e5}
{e6}"
ropes - None - prompt_bottom_no_hint,"{e1}
{e2}

Given the paragraph above, please answer correctly the following question: 

{e3}
|||
{e4}
{e5}"
ropes - None - prompt_mix,"{e1}
{e2}

Given the paragraph above, please answer correctly the following question: 

{e3}

Hint: {e4}
|||
{e5}
{e6}"
ropes - None - read_background_situation,"{e1}
I read this background article the other day: {e2}

I am facing a new situation today: {e3}

Using the knowledge I acquired from the background article, how should I answer correctly the following question regarding my new situation: {e4}|||
{e5}
{e6}"
squad_v2 - None - Jeopardy with Context,"{e1}
Determine the question that you might have asked to get back the following answer for the given context
Context: {e2};
Answer: {e3};
Question: |||
{e4}
{e5}
"
squad_v2 - None - Jeopardy without Context,"{e1}
What is a question that would give the following answer?
Answer: {e2};
Question: |||
{e3}
{e4}
"
squad_v2 - None - Questions with Context,"{e1}

{e2}
Context: {e3};
Question: {e4};
Answer: |||
{e5}
Answer not in context
{e6}
{e7}
{e8}"
squad_v2 - None - Questions with Context +unanswerable,"{e1}

{e2}
Context: {e3};
Question: {e4};
If you can't find the answer, please respond ""unanswerable"".
Answer: |||
{e5}
unanswerable
{e6}
{e7}
{e8}"
squad_v2 - None - Questions with Context - Without Prompt Keywords,"{e1}
{e2} {e3}{e4}|||
{e5}
Answer not in context
{e6}
{e7}
{e8}"
squad_v2 - None - Questions with Context - Without Prompt Keywords +unanswerable,"{e1}
{e2} {e3}{e4} If you can't find the answer, please respond ""unanswerable"". |||
{e5}
unanswerable
{e6}
{e7}
{e8}"
squad_v2 - None - Topic Prediction - Context,"What is the following passage about?
{e1} |||
{e2}"
squad_v2 - None - Topic Prediction - Context with randomized prompt options,"{e1}
{e2}
{e3} |||
{e4}"
squad_v2 - None - Topic Prediction - Context with randomized prompt options placed in the end,"{e1}
{e2}
{e3}|||
{e4}"
squad_v2 - None - Topic Prediction - Question and Answer Pair,"{e1}
{e2}
{e3}
Question: {e4};  Answer: {e5}; Topic: |||
{e6}
{e7}"
squad_v2 - None - Trivia,"{e1}
{e2}|||
{e3}
{e4}"
squad_v2 - None - Unanwerable question,"Context: {e1}; 

Question: {e2} 

Is this question answerable? ||| 
{e3}
{e4}
{e5}
{e6}
{e7}"
super_glue - record - Add sentence after (continuation choices),"After reading the article, write another sentence to add to it.
{e1}

||| {e2}{e3}{e4}
"
super_glue - record - Add sentence after after (continuation choices),"Summary:

- {e1} 

Article:

{e2}

Now that you've read the article, please write a new sentence to add to it.

||| {e3}{e4} {e5}"
super_glue - record - Can you figure out…,"{e1} 
{e2} 
Can you figure out what does the ""{e3}"" mean? It means ||| {e4}{e5}{e6}"
super_glue - record - GPT-3 style (continuation choices),"{e1} 

 ||| {e2}- {e3} {e4}"
super_glue - record - GPT-3 style summary only (continuation choices),"{e1}

Summary:

- {e2} 

 ||| {e3}- {e4} {e5}"
super_glue - record - GPT-3 style with labels (continuation choices),"Article:

{e1}

Highlights:

- {e2} 

 ||| {e3}- {e4} {e5}"
super_glue - record - GPT-3 style with labels without hyphens (continuation choices),"Article:

{e1}

Highlights:

{e2} 

 ||| {e3}{e4} {e5}"
super_glue - record - GPT-3 style without hyphens (continuation choices),"{e1} 
 ||| {e2}{e3} {e4}"
"super_glue - record - In the question above, the placeholder stands for","{e1} 
{e2} 
In the question above, the ""{e3}"" stands for ||| {e4}{e5}{e6}"
super_glue - record - New highlight (continuation choices),"{e1}

Highlights:

- {e2} 

Please write an additional highlight.
 ||| {e3}- {e4} {e5}
"
super_glue - record - News article (continuation choices),"Please read the following news article and write another sentence to add to it.

{e1} 
 ||| {e2}{e3} {e4}
"
super_glue - record - Summary first (continuation choices),"Summary:

- {e1} 

Article:

{e2}
 ||| {e3}{e4} {e5}"
super_glue - record - What could the placeholder be?,"{e1} 
{e2} 
What could the ""{e3}"" be? {e4}? ||| {e5}{e6}{e7}"
super_glue - record - Which one is the placeholder?,"{e1} 
{e2} 
Which one is the ""{e3}""? {e4}? ||| {e5} {e6}
{e7}"
super_glue - record - choose_between,"{e1} 
{e2} 

You should decide what ""{e3}"" is referring to. Choose between:
- {e4}
||| {e5}{e6}
{e7}"
super_glue - record - corrupted,"The following document has been corrupted. Tell me what ""{e1}"" is referring to.

Document: {e2} 
{e3} 
||| {e4}{e5}
{e6}"
super_glue - record - exercise,"Exercise: Extract from the text the correct entity that ""{e1}"" is referring to.

{e2}
{e3}
||| {e4}
{e5}
{e6}"
super_glue - record - pick_one_option,"{e1}
{e2}

Pick one option, ""{e3}"" refers to:
- {e4}
||| {e5}
{e6}
{e7}"
super_glue - record - the placeholder refers to…,"{e1} 
{e2} 
Here, the placeholder refers to ||| {e3}{e4}
{e5}"
super_glue - record - trying_to_decide,"{e1}
{e2}

I am trying to decide what ""{e3}"" means in the previous text.
Help by choosing an option between:
- {e4}
||| {e5}
{e6}
{e7}"
quoref - None - Answer Friend Question,"A friend asked me to answer this question: {e1}, using the article: {e2}, what would be the answer ?

|||
{e3}
"
quoref - None - Answer Question Given Context,"Given the following context:

{e1}

answer the following question:

{e2} |||
{e3}"
quoref - None - Answer Test,"I have a test where I am given the following article, what is an answer for the question: {e1} ?

{e2}|||
{e3}"
quoref - None - Context Contains Answer,"This article: {e1} contains an answer for the question: {e2}, what is it ?
|||
{e3}"
quoref - None - Find Answer,"The following article contains an answer for the question: {e1} , can you please find it? 

{e2}|||
{e3}"
quoref - None - Found Context Online,"Found the following article online, use it to answer the question: {e1}

{e2}|||
{e3}
"
quoref - None - Given Context Answer Question,"{e1}

Answer the above question based on the context below:

{e2} |||
{e3}"
quoref - None - Guess Answer,"The answer to the question: {e1} is inside the article: {e2}, can you guess it ?

|||
{e3}
"
quoref - None - Guess Title For Context,"Given the below context:

{e1}

Guess a valid title for it! |||
{e2}"
quoref - None - Read And Extract ,"Read the following paragraph and extract the answer for the question: {e1}

{e2} |||
{e3}"
quoref - None - What Is The Answer,"What is the answer for the question: {e1} from the following article ?

{e2}|||
{e3}
"
cos_e - v1.11 - aligned_with_common_sense,"Here's a question and a few possible answers: 

Q: {e1}
Possible A: {e2}

Why is ""{e3}"" an answer aligned with human common sense? 
|||
{e4}"
cos_e - v1.11 - description_question_option_id,"Pick the option in line with common sense to answer the question.
Question: {e1}
Options:
{e2}
{e3}
{e4}
|||
{e5}"
cos_e - v1.11 - description_question_option_text,"Pick the option in line with common sense to answer the question.
Questions: {e1}
Options:
- {e2}
|||
{e3}"
cos_e - v1.11 - explain_why_human,"Question: {e1}
Options:
- {e2}

Explain why a human would choose ""{e3}"" to answer the question above:
|||
{e4}"
cos_e - v1.11 - generate_explanation_given_text,"Question: {e1}
Options:
- {e2}

The answer is ""{e3}"" because
|||
{e4}"
cos_e - v1.11 - i_think,"Here's a question: {e1}

Here are possible answers to this question:
- {e2}

I believe the correct choice is ""{e3}"", here's why:
|||
{e4}"
cos_e - v1.11 - question_description_option_id,"{e1}
Choose the most suitable option to answer the above question.
Options：
{e2}
{e3}
{e4}
|||
{e5}"
cos_e - v1.11 - question_description_option_text,"{e1}
Choose the most suitable option to answer the above question.
Options:
- {e2}
|||
{e3}"
cos_e - v1.11 - question_option_description_id,"{e1}
{e2}
{e3}
{e4}
The best answer is
|||
{e5}"
cos_e - v1.11 - question_option_description_text,"{e1}
- {e2}

The best answer is
|||
{e3}"
cos_e - v1.11 - rationale,"Question: {e1}

Choices: 
- {e2}

The rationale to choose ""{e3}"" as the answer is that: |||
{e4}"
cosmos_qa - None - context_answer_to_question,"Based on the context and the answer, generate a question. 

Context: {e1}

Answer:
{e2}
{e3}
{e4}
{e5}
{e6}
{e7}
{e8}
{e9}
{e10}
|||
{e11}"
cosmos_qa - None - context_description_question_answer_id,"{e1}
According to the above context, choose the best option to answer the following question.
Question: {e2}
Options:
A. {e3}
B. {e4}
C. {e5}
D. {e6}
|||
{e7}"
cosmos_qa - None - context_description_question_answer_text,"{e1}
According to the above context, choose the best option to answer the following question.
Question: {e2}
Options:
- {e3}
|||
{e4}"
cosmos_qa - None - context_description_question_text,"{e1}
According to the above context, answer the following question.
{e2}
|||
{e3}"
cosmos_qa - None - context_question_description_answer_id,"{e1}
{e2}
Pick the best answer from the following options:
A. {e3}
B. {e4}
C. {e5}
D. {e6}
|||
{e7}"
cosmos_qa - None - context_question_description_answer_text,"{e1}
{e2}
Pick the best answer from the following options:
- {e3}
|||
{e4}"
cosmos_qa - None - context_question_description_text,"{e1}
Question: {e2}
The answer to the above question:
|||
{e3}"
cosmos_qa - None - description_context_question_answer_id,"Read the following context and choose the best option to answer the question.
Context: {e1}
Question: {e2}
Options: 
A. {e3}
B. {e4}
C. {e5}
D. {e6}
|||
{e7}"
cosmos_qa - None - description_context_question_answer_text,"Read the following context and choose the best option to answer the question.
Context: {e1}
Question: {e2}
Options: 
- {e3}
|||
{e4}"
cosmos_qa - None - description_context_question_text,"Read the following context and answer the question.
Context: {e1}
Question: {e2}
Answer:
|||
{e3}"
cosmos_qa - None - no_prompt_id,"{e1}
{e2}
A. {e3}
B. {e4}
C. {e5}
D. {e6}
|||
{e7}"
cosmos_qa - None - no_prompt_text,"{e1}
{e2}
- {e3}
|||
{e4}"
cosmos_qa - None - only_question_answer,"{e1} 
|||
{e2}"
dream - None - answer-to-dialogue,"Given the question ""{e1}"" and the answer ""{e2}"", write a conversation that might have happened.
|||
{e3}"
dream - None - baseline,"Dialogue:

{e1}

Question: {e2} 

- {e3}

- {e4}

- {e5}
|||
{e6}"
dream - None - generate-first-utterance,"{e1}

What was said before this conversation?
|||
{e2}"
dream - None - generate-last-utterance,"Read the below conversation.

{e1}

What would the listener say?
|||
{e2}"
dream - None - read_the_following_conversation_and_answer_the_question,"Read the following conversation and answer the question.

{e1}

Question: {e2} 

- {e3}

- {e4}

- {e5}
|||
{e6}"
openbookqa - main - choices,"{e1}

Choices:
- {e2}
|||
{e3}[answerKey]]}}"
openbookqa - main - choose_an_answer_with_options,"{e1}

Choose an answer from this list:
- {e2}
|||
{e3}[answerKey]]}}"
openbookqa - main - only_options,"{e1}
- {e2}
|||
{e3}[answerKey]]}}"
openbookqa - main - pick_answer_with_options,"{e1}

Pick the right answer from the list:
- {e2}
|||
{e3}[answerKey]]}}"
openbookqa - main - pick_using_id,"{e1}
{e2}
{e3}
{e4}
Is the right answer {e5} ?
|||
{e6}"
openbookqa - main - which_correct,"{e1}

Which is the correct answer?
- {e2}
|||
{e3}[answerKey]]}}"
openbookqa - main - which_correct_inverse,"{e1}
- {e2}

Which is the correct answer?
|||
{e3}[answerKey]]}}"
qasc - None - is_correct_1,"If I tell you that {e1}{e2}, and ask you the question ""{e3}{e4}"", is the correct answer ""{e5}{e6}""? 

||| 

{e7} Yes {e8} No {e9}"
qasc - None - is_correct_2,"Do you think the right answer to the question ""{e1}{e2}"" is ""{e3}{e4}"", given that
 {e5}{e6}?
 ||| 
{e7} Yes {e8} No {e9}   "
qasc - None - qa_with_combined_facts_1,"If {e1}{e2}, then {e3}{e4}?

Answer choices:
- {e5}
||| 

{e6} {e7}{e8}{e9}{e10}  "
qasc - None - qa_with_separated_facts_1,"{e1}{e2}, and {e3}{e4}. Given these facts, {e5}{e6} among the following options:
- {e7}

||| 

{e8} {e9}{e10}{e11}{e12} "
qasc - None - qa_with_separated_facts_2,"Fact 1: {e1}{e2}.

Fact 2: {e3}{e4}.

Given the two facts above, answer the question ""{e5}"" with the following options: 
- {e6}

||| 

{e7} {e8}{e9}{e10}{e11} "
